V1	V2	V3
AD	AD	0
AD	BI	-0.111552431741863
AD	AUT	-0.0579220836992579
AD	SCH	-0.237373373270127
AD	ASD	-0.0572434470411906
AD	Epi	-0.140638392345026
AD	ID	-0.0652774620745017
AD	HTN	-0.134346233380035
AD	HD	0.124471893608575
AD	PD	-0.0905128684385615
AD	FTD	-0.0430394212203871
BI	BI	0
BI	AUT	-0.100266797264684
BI	SCH	-0.0776661674608933
BI	ASD	-0.101626818783069
BI	Epi	-0.124807190739543
BI	ID	-0.104475214665637
BI	HTN	-0.124178336011207
BI	HD	0.0128309505309505
BI	PD	-0.113351741029439
BI	FTD	-0.0938153140153141
AUT	AUT	0
AUT	SCH	-0.0144049965744149
AUT	ASD	-0.0945114697455348
AUT	Epi	-0.0963118373820306
AUT	ID	-0.0975536726512495
AUT	HTN	-0.100081243158703
AUT	HD	-0.0186823361241581
AUT	PD	-0.101589801128914
AUT	FTD	-0.095016989712095
SCH	SCH	0
SCH	ASD	-0.0185117328616319
SCH	Epi	-0.120800736444698
SCH	ID	-0.02425025452712
SCH	HTN	-0.110264481166303
SCH	HD	0.181495023197317
SCH	PD	-0.0541902433712771
SCH	FTD	0.00215577105459356
ASD	ASD	0
ASD	Epi	-0.0994436453733185
ASD	ID	-0.0984346052374443
ASD	HTN	-0.101290145338532
ASD	HD	-0.0170140756302518
ASD	PD	-0.104175028885507
ASD	FTD	-0.0962862083568609
Epi	Epi	0
Epi	ID	-0.103183361492083
Epi	HTN	-0.136878459779997
Epi	HD	0.0376397435897434
Epi	PD	-0.11475104769657
Epi	FTD	-0.0896746738768477
ID	ID	0
ID	HTN	-0.103593846675955
ID	HD	-0.00822830098020374
ID	PD	-0.105237644325311
ID	FTD	-0.0977962550005276
HTN	HTN	0
HTN	HD	0.0283522418340433
HTN	PD	-0.112532503344382
HTN	FTD	-0.0874189369449358
HD	HD	0
HD	PD	-0.00130988753514527
HD	FTD	-0.0228006493506495
PD	PD	0
PD	FTD	-0.0969466915357423
FTD	FTD	0
