Clustering_algo,Cn,smallest,largest,mean,median,mode,mode_count,std,MAD,skew,kurtosis
Spectral,281.0,1.0,216.0,4.423487544483986,1.0,[1],[163],15.081517186634017,5.135953192082167,10.747843512482786,141.55942901224606
Spectral_1,50.0,12.0,73.0,24.86,20.5,"[13, 14]","[5, 5]",13.578208832612674,10.0152,1.7858092219652972,3.1939616592198554
Spectral_1.25,41.0,16.0,73.0,30.317073170731707,26.0,[22],[5],13.51376894946455,10.109458655562165,1.5016363296896358,1.8744904343337763
Spectral_1.5,38.0,18.0,73.0,32.71052631578947,30.5,[22],[4],12.603963114909192,9.695290858725762,1.2438669820875756,1.5508485185099001
lec,25.0,1.0,256.0,49.72,20.0,[1],[4],64.30041472131678,47.8464,1.762677237947672,3.297703140280622
wt,171.0,1.0,193.0,7.269005847953216,3.0,[2],[58],19.604565154274674,8.000957559590987,6.669550118815866,53.23989206894526
fc,16.0,3.0,203.0,77.6875,63.0,"[3, 10, 14, 17, 39, 51, 52, 62, 64, 74, 75, 92, 135, 175, 177, 203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",63.112300702794855,49.1953125,0.8338080570234357,-0.3818513487286581
lourvain,18.0,33.0,142.0,69.05555555555556,63.0,[61],[2],28.92276169024752,21.74074074074074,1.0276439553280117,0.8817080882388861
infomap,134.0,2.0,44.0,9.276119402985074,7.0,[8],[19],6.911243744138886,4.898975272889283,2.1556321853941625,6.428502429439371
sgG1,27.0,3.0,146.0,46.03703703703704,34.0,"[3, 4, 34, 69]","[2, 2, 2, 2]",38.91557082225125,30.932784636488346,0.9876137784686172,0.3927646197937822
sgG2,47.0,3.0,59.0,26.4468085106383,26.0,[4],[5],16.68611569492055,14.030783159800817,0.12487405804356916,-1.0514817387955344
sgG5,91.0,3.0,36.0,13.659340659340659,13.0,[10],[9],6.95416706446139,5.4428209153483875,0.7545576605191368,0.5971981693781099
fc_2,49.0,3.0,92.0,25.367346938775512,17.0,"[3, 14]","[4, 4]",21.410369253346047,16.765514369012912,1.288176440098236,1.2095908967839946
sgG1_2,36.0,3.0,123.0,34.52777777777778,25.5,[4],[5],31.85815536863463,24.648148148148152,1.1978235752509225,0.8171081612711326
lourvain_2,25.0,3.0,108.0,49.72,45.0,[23],[3],29.62898355777104,24.6688,0.41259935058052016,-0.6341271519943161
Geodesicdiff,67.0,3.0,128.0,18.567164179104477,10.0,"[3, 6, 9]","[6, 6, 6]",21.979483464163227,13.175762976163956,3.260403307612975,12.517148923853537
Spectral_2.5,18.0,35.0,246.0,69.05555555555556,57.0,"[35, 43, 58, 64]","[2, 2, 2, 2]",49.551485075652515,29.086419753086417,3.045140174745754,10.280670616266292
Spectral_5,12.0,62.0,253.0,103.58333333333333,84.0,"[84, 87]","[2, 2]",56.604622897192186,40.87499999999999,2.073169592798366,4.109336834714609
Spectral_0.5,67.0,6.0,72.0,18.55223880597015,13.0,[8],[9],13.935221978083854,10.708843840498995,1.6320989567251813,2.615127182501797
Spectral_2.5_2,24.0,3.0,87.0,51.791666666666664,52.5,"[43, 58]","[3, 3]",17.062491705152734,12.642361111111109,-0.6207054130025479,1.9677773434099088
Spectral_5_2,16.0,8.0,160.0,77.6875,74.0,"[84, 87]","[2, 2]",30.200924378789026,18.8984375,0.6088233054736626,4.683129901341805
Spectral_1_2,53.0,1.0,62.0,23.452830188679247,20.0,"[13, 14]","[5, 5]",11.80379019594301,8.749021003915983,1.4072989002734604,2.3026025619767894
