alg	a	sd_a	b	sd_b	c	sd_c	d	sd_d
fc	-0.00257571134669344	0.0133697222224791	0.424472161687272	0.16596875354621	-1.30405748610019	0.633186909099224	1.29907690986774	0.746273983006419
lourvain	-0.0428028600071635	0.0167880742609798	1.56737653465662	1.64782564218301	-0.756797870879611	0.259640552781932	-0.364683659795306	2.33565637263518
lec	-0.0311195649493344	0.030853768688632	1.11142531681286	0.741317743215208	-0.470504986615953	0.17804812647288	0.473391606713201	2.60596354701451
infomap	-0.0268252752831685	0.0274689206628704	1.10796461833278	0.0493370633641664	-0.686215610394212	0.0811433140020184	4.39768478442737	0.174551111288163
sgG1	-0.0153965964743316	0.0368197883373961	30.6756059075186	950.713928670447	-0.38873945360827	0.194075094843301	-9.48098008897935	86.0307087532588
sgG2	-0.0372265624520224	0.031697812184543	1.71836281011695	0.716480393848273	-0.446473364828401	0.107304891266766	0.456769163631555	1.71881963555981
sgG5	0.0148693482196946	0.0155522729382504	1.02504343078429	0.0278418418742307	-1.2806122654757	0.137010900147044	3.94248254384671	0.0935469037877928
wt	-0.181576824905171	0.105929353876815	0.930266980288333	0.0690138983555521	-0.451568474017521	0.100698878852397	6.20383801278517	0.394239588501098
fc_2	0.00903200653757521	0.0182134633642386	1.20955715868371	0.170205532595117	-0.77587418029608	0.131815480823653	1.91822756941521	0.426800910166606
lourvain_2	-0.0200222548565426	0.0166049689595094	0.883545271481286	0.108711171671298	-0.95766147546399	0.185086879304416	2.19580534241702	0.327230667221425
sgG1_2	-0.0334194500051825	0.0382601068726145	1.45103753927768	0.391955426518719	-0.460585381395172	0.10900861987313	1.64252913612962	1.14447812845968
Geodesicdiff	-0.00638881587713633	0.0208152336112393	0.960923770804621	0.0981311435554855	-0.731119563636015	0.125760117275266	2.82967050293352	0.341205011241553
Spectral	-0.414999997676319	0.349343096048601	1.14855673342303	0.259422243080001	-0.27162390216323	0.123654751505639	6.10666983899733	0.919051053685992
Spectral_1.5	-0.026135744711594	0.0128204319404411	1.00168673166281	0.0601855380537287	-1.35987768076221	0.181223930725239	2.22459976602719	0.134532527578731
Spectral_1.25	-0.000109185327293275	0.0129207421346269	0.912826041515251	0.0451860892309657	-1.46268957596692	0.203255611584283	2.5230688025119	0.118568640107369
Spectral_1	0.0275166131501796	0.0140293892562559	0.974634685433138	0.0390435377889415	-1.45494659019775	0.191894250235685	2.88892011888191	0.107783538087783
