alg	FN	CN	FNxCN	Psig	PALTsig	OR>1	ORsig	Psig&ORsig	PALTsig&ORsig	FEsig	Psig&ORsig&FEsig	EnrichedComs(%)	p.value
lourvain	62	18	1116	92	13	338	82	76	0	62	35	6.81003584229391	1.93320425912161e-27
lourvain_2	62	25	1550	114	13	426	121	98	0	187	65	6.32258064516129	4.80750881392265e-38
Spectral_5	62	12	744	59	14	285	49	45	0	23	6	6.04838709677419	0.00176114750489357
fc	62	16	992	72	14	279	66	58	0	49	18	5.84677419354839	2.4048286439926e-11
Spectral_2.5	62	18	1116	71	13	359	73	63	0	92	30	5.64516129032258	1.33697432623311e-17
Spectral_2.5_2	62	24	1488	81	14	469	100	77	0	143	50	5.1747311827957	3.9582770889823e-34
Spectral_5_2	62	16	992	61	18	349	60	51	0	40	15	5.14112903225806	1.33818651067101e-10
sgG1	62	27	1674	88	5	364	99	83	0	118	39	4.95818399044205	7.64828569592946e-25
sgG2	62	47	2914	147	7	573	197	143	0	391	117	4.90734385724091	9.91583899393145e-79
sgG1_2	62	36	2232	111	5	458	138	107	0	225	63	4.79390681003584	6.86892441899932e-37
Spectral_1.5	62	38	2356	119	5	628	156	111	0	498	97	4.71137521222411	5.87357747880203e-50
fc_2	62	49	3038	151	8	571	190	140	0	366	107	4.60829493087558	1.27986670347325e-71
Spectral_1.25	62	41	2542	121	5	654	162	113	0	531	100	4.44531864673485	3.48918707943545e-53
Spectral_1	62	50	3100	127	4	694	187	120	0	624	101	3.87096774193548	5.72746764220839e-51
Geodesicdiff	61.0882352941176	68	4154	139	0	545	196	136	0	414	90	3.27395281656235	2.62748153004936e-58
Spectral_0.5	62	67	4154	130	0	739	222	128	0	637	104	3.08136735676456	3.91723660982899e-62
sgG5	62	91	5642	175	0	860	298	171	0	860	133	3.03084012761432	8.37311922070563e-75
lec	62	25	1550	57	10	330	57	45	0	92	23	2.90322580645161	1.08057883909298e-17
infomap	62	134	8308	216	0	889	358	215	0	685	103	2.58786711603274	9.47538167437193e-55
wt	62	171	10602	194	3	552	250	182	0	174	57	1.71665723448406	2.68457378456458e-59
Spectral	62	281	17422	211	0	572	239	145	0	257	48	0.832281023992653	3.44322940975268e-52
