Alg	FacComsEnriched_log2(FE)>0.5_log2(FE)<4.8	FacComsEnriched_log2(FE)>4.8_log2(FE)<8.0
Spectral_1	0.916666666666667	0
sgG5	0.906432748538012	0.0935672514619883
Spectral_0.5	0.890625	0.046875
Spectral_1.25	0.884955752212389	0
Spectral_1.5	0.873873873873874	0
fc_2	0.828571428571429	0.0785714285714286
sgG2	0.825174825174825	0.0909090909090909
Geodesicdiff	0.698529411764706	0.117647058823529
lourvain_2	0.673469387755102	0
infomap	0.646511627906977	0.33953488372093
Spectral_2.5_2	0.61038961038961	0.012987012987013
sgG1_2	0.588785046728972	0.158878504672897
lec	0.488888888888889	0.0444444444444444
Spectral_2.5	0.428571428571429	0
lourvain	0.407894736842105	0
sgG1	0.397590361445783	0.108433734939759
Spectral	0.331034482758621	0.524137931034483
wt	0.324175824175824	0.516483516483517
Spectral_5_2	0.294117647058824	0
fc	0.293103448275862	0
Spectral_5	0.133333333333333	0
