community,Significant enrichment,Enriched Dis terms,Enriched Dis IDs,p values
1.0,NO,[],[],[]
2.0,NO,[],[],[]
3.0,NO,[],[],[]
4.0,NO,[],[],[]
5.0,NO,[],[],[]
6.0,NO,[],[],[]
7.0,NO,[],[],[]
8.0,NO,[],[],[]
9.0,NO,[],[],[]
10.0,NO,[],[],[]
11.0,NO,[],[],[]
12.0,YES,"['Differentially expressed proteins in 3', 'Differentially expressed proteins in 2', 'Differentiallly expressed proteins']","['Differentially expressed proteins in 3', 'Differentially expressed proteins in 2', 'Differentiallly expressed proteins']","[0.00115879, 0.013996399999999999, 0.0202097]"
13.0,NO,[],[],[]
14.0,NO,[],[],[]
15.0,NO,[],[],[]
16.0,NO,[],[],[]
17.0,NO,[],[],[]
18.0,NO,[],[],[]
19.0,YES,['Differentiallly expressed proteins'],['Differentiallly expressed proteins'],[0.0332695]
20.0,NO,[],[],[]
21.0,NO,[],[],[]
22.0,NO,[],[],[]
23.0,NO,[],[],[]
24.0,NO,[],[],[]
25.0,NO,[],[],[]
26.0,NO,[],[],[]
27.0,NO,[],[],[]
28.0,NO,[],[],[]
29.0,NO,[],[],[]
30.0,YES,['Differentiallly expressed proteins'],['Differentiallly expressed proteins'],[0.00538857]
31.0,NO,[],[],[]
32.0,NO,[],[],[]
33.0,NO,[],[],[]
34.0,NO,[],[],[]
35.0,NO,[],[],[]
36.0,NO,[],[],[]
37.0,NO,[],[],[]
38.0,NO,[],[],[]
39.0,NO,[],[],[]
40.0,NO,[],[],[]
41.0,NO,[],[],[]
42.0,NO,[],[],[]
43.0,NO,[],[],[]
44.0,YES,"['Differentially expressed proteins in 2', 'Differentiallly expressed proteins']","['Differentially expressed proteins in 2', 'Differentiallly expressed proteins']","[0.0178252, 0.0313801]"
45.0,NO,[],[],[]
46.0,NO,[],[],[]
47.0,NO,[],[],[]
48.0,NO,[],[],[]
49.0,NO,[],[],[]
50.0,NO,[],[],[]
51.0,NO,[],[],[]
52.0,NO,[],[],[]
53.0,NO,[],[],[]
54.0,YES,['Differentiallly expressed proteins'],['Differentiallly expressed proteins'],[0.0281113]
55.0,NO,[],[],[]
56.0,NO,[],[],[]
57.0,NO,[],[],[]
58.0,NO,[],[],[]
59.0,NO,[],[],[]
60.0,NO,[],[],[]
61.0,NO,[],[],[]
62.0,NO,[],[],[]
63.0,YES,['Differentially expressed proteins in 3'],['Differentially expressed proteins in 3'],[0.0406324]
64.0,NO,[],[],[]
65.0,NO,[],[],[]
66.0,NO,[],[],[]
67.0,NO,[],[],[]
68.0,NO,[],[],[]
69.0,NO,[],[],[]
70.0,NO,[],[],[]
71.0,NO,[],[],[]
72.0,NO,[],[],[]
73.0,YES,['Differentiallly expressed proteins'],['Differentiallly expressed proteins'],[0.0191828]
74.0,NO,[],[],[]
75.0,NO,[],[],[]
76.0,NO,[],[],[]
77.0,NO,[],[],[]
78.0,NO,[],[],[]
79.0,NO,[],[],[]
80.0,NO,[],[],[]
81.0,NO,[],[],[]
82.0,NO,[],[],[]
83.0,NO,[],[],[]
84.0,NO,[],[],[]
85.0,NO,[],[],[]
86.0,NO,[],[],[]
87.0,NO,[],[],[]
88.0,NO,[],[],[]
89.0,NO,[],[],[]
90.0,NO,[],[],[]
91.0,NO,[],[],[]
